race_id,Race,Total,For Dems,Against Dems,For Repubs,Against Repubs,state_abbr,district,has_dark_money_data
OH13,Ohio District 13,412584.0,218156.0,0.0,0.0,194428.0,OH,13,True
OH09,Ohio District 9,399740.0,199070.0,0.0,0.0,200670.0,OH,09,True
NY22,New York District 22,398660.0,198678.0,0.0,0.0,199982.0,NY,22,True
MI07,Michigan District 7,393552.0,393552.0,0.0,0.0,0.0,MI,07,True
NM02,New Mexico District 2,369701.0,0.0,0.0,0.0,369701.0,NM,02,True
NY18,New York District 18,324169.0,23761.0,0.0,0.0,300408.0,NY,18,True
PA07,Pennsylvania District 7,271811.0,112787.0,0.0,0.0,159024.0,PA,07,True
CA47,California District 47,160742.0,15255.0,0.0,0.0,145487.0,CA,47,True
CA45,California District 45,114440.0,89499.0,0.0,24941.0,0.0,CA,45,True
TX23,Texas District 23,100573.0,0.0,0.0,100573.0,0.0,TX,23,True
TX12,Texas District 12,91523.0,0.0,0.0,91523.0,0.0,TX,12,True
CO08,Colorado District 8,89604.0,66235.0,0.0,0.0,23369.0,CO,08,True
NY03,New York District 3,72619.0,64826.0,0.0,0.0,7793.0,NY,03,True
CA49,California District 49,71199.0,71199.0,0.0,0.0,0.0,CA,49,True
CA40,California District 40,66836.0,0.0,0.0,66836.0,0.0,CA,40,True
NV04,Nevada District 4,61404.0,59855.0,1549.0,0.0,0.0,NV,04,True
CA09,California District 9,58940.0,58940.0,0.0,0.0,0.0,CA,09,True
IA03,Iowa District 3,58033.0,0.0,0.0,0.0,58033.0,IA,03,True
CA41,California District 41,54237.0,0.0,0.0,54237.0,0.0,CA,41,True
CA27,California District 27,54019.0,0.0,0.0,54019.0,0.0,CA,27,True
NC08,North Carolina District 8,52903.0,0.0,0.0,52903.0,0.0,NC,08,True
MO01,Missouri District 1,51423.0,51423.0,0.0,0.0,0.0,MO,01,True
NC01,North Carolina District 1,47093.0,20802.0,0.0,26291.0,0.0,NC,01,True
TX34,Texas District 34,46345.0,20054.0,0.0,26291.0,0.0,TX,34,True
IL07,Illinois District 7,43269.0,43269.0,0.0,0.0,0.0,IL,07,True
GA13,Georgia District 13,40820.0,40820.0,0.0,0.0,0.0,GA,13,True
PA01,Pennsylvania District 1,37386.0,0.0,0.0,37386.0,0.0,PA,01,True
NE02,Nebraska District 2,36598.0,0.0,0.0,36598.0,0.0,NE,02,True
